id	id1	id2	visual	caption	is_related
220740	220741	220742	marimba dalmatian picket fence	a horse jumping competition is going on with people in the stands 	1
385729	385730	385731	dishwasher microwave barber chair	a person riding a horse on a dirt ground	0
59422	59423	59424	laptop carton comicbook	a laptop that has stickers on its cover is sitting on a table 	1
46638	46639	46640	suit Windsortie woodenspoon	a young bow wearing a pink shirt and a purple tie 	1
11870	11871	11872	studiocouch four-poster quilt	a couple of girls sitting in a bed in a bedroom 	1
471676	471677	471678	streetcar fire engine passenger car	a multi layer plate with cakes and food on it 	0
186795	186796	186797	shoe shop television monitor	a man playing a wii on a large projector screen 	1
121836	121837	121838	ox water buffalo alp	cattle standing on a hill in fog	1
396224	396225	396226	altar desk perfume	oranges sitting in a blue bowl on a wooden table 	0
430635	430636	430637	speedboat paddle lifeboat	pots and other items sit on a stove and counter 	0
145057	145058	145059	shopping cart ashcan park bench	a coin meter that is laying down on grates 	1
409778	409779	409780	web site fire engine comic book	a painting of a man from the back 	0
155568	155569	155570	grocery store patio restaurant	a man and woman walking up the stairs in a backyard 	1
213951	213952	213953	microwave washer dining table	the kitchen is equipped with all the latest appliances 	1
489266	489267	489268	traffic light aircraft carrier chain saw	a laptop computer on a desk with cables a mug and bowl	0
257649	257650	257651	grocery store confectionery shopping basket	a couple of wooden tale stopped with fresh fruit 	1
113826	113827	113828	lab coat vestment West Highland white terrier	a group of people standing in rows with frisbees for a photo 	1
486413	486414	486415	snorkel ski tennis ball	two frames of a woman in the air on a tennis court 	0
400432	400433	400434	crutch lawn mower chain saw	eight  underneath on ambarella in the forest parrot	0
341153	341154	341155	washer microwave dishwasher	a small propeller plane sitting underneath a covering at an airport 	0
462067	462068	462069	ballplayer baseball scoreboard	a plate full of bright green lettuce next to some bread 	0
443392	443393	443394	grocery store pineapple pizza	a man in black and white stripes with makeup smiling	0
486660	486661	486662	wombat wallaby titi	a persons shadow on the ground of them skateboarding 	0
336616	336617	336618	moped motor scooter crash helmet	multiple street signs are attached to the post 	0
124199	124200	124201	sorrel hog barrel	a brown horse eating from a hallowed out metal barrel 	1
238004	238005	238006	tray washbasin cradle	a cat laying on a couch near a remote control 	1
319195	319196	319197	airliner wing web site	a propeller airplane parked inside and airplane hanger 	1
412036	412037	412038	grey whale breakwater killer whale	a stop sign is standing at a street intersection 	0
491896	491897	491898	teddy wool toyshop	a woman in an old-fashioned kitchen with pots and pans 	0
487501	487502	487503	snowmobile steam locomotive tow truck	the living room is clean and empty from people 	0
277093	277094	277095	microwave dishwasher chest	a chair holding a laptop that is facing towards an oven 	1
135542	135543	135544	water buffalo warthog hog	sheep grazing under a tree in a grassy meadow 	1
8448	8449	8450	mountainbike unicycle bicycle-built-for-two	a picture of a person throwing a frisbee 	1
170686	170687	170688	police van minibus ambulance	a person in the army greeting someone in a suit 	1
372016	372017	372018	Great Dane Irish wolfhound English setter	a man standing in a room holding a remote	0
351158	351159	351160	sunglass bullet train sunglasses	a woman opening the trunk of her car 	0
414542	414543	414544	killer whale great white shark paddle	a dog running across a field with a frisbee in his mouth 	0
264998	264999	265000	bannister ski unicycle	a man riding a skateboard along a metal hand rail 	1
362868	362869	362870	zebra bustard gazelle	a basket full of bananas with a net on top 	0
88455	88456	88457	patio flagpole pole	a fire hydrant and fire hose in a houses front yard 	1
372512	372513	372514	seashore catamaran swimming trunks	a man riding a surfboard on a wave in the ocean 	0
387327	387328	387329	cellular telephone lab coat cash machine	a baseball game ensues as people watch	0
248027	248028	248029	web site barbershop cinema	a motor bike on the side of the street 	1
347507	347508	347509	banana pineapple orange	a bear itching itself on a bare tree	0
33714	33715	33716	picketfence streetcar mountainbike	the red bike and the pink bike just started dating	1
173989	173990	173991	umbrella poncho jinrikisha	a group of people walking down a street carrying umbrellas 	1
20835	20836	20837	ballplayer baseball footballhelmet	a man throwing a baseball from a mound on a field 	1
16356	16357	16358	lumbermill barbershop turnstile	a man working on a baseball bat while two others watch 	1
193491	193492	193493	unicycle pole horizontal bar	boy riding on his skateboard down a stair rail 	1
384165	384166	384167	mixing bowl corn meat loaf	a couple of sailors standing next to a woman 	0
321736	321737	321738	ballplayer baseball football helmet	a boys baseball game with a batter catcher and umpire	1
108395	108396	108397	crash helmet moped backpack	a man with a suit and tie on a motor bike 	1
215942	215943	215944	unicycle military uniform bearskin	four guys are sitting on a bench in front of a building 	1
134156	134157	134158	wine bottle eggnog red wine	there is a bottle of wine next to a glass	1
297783	297784	297785	necklace thimble corkscrew	this is an image of a meal and an avocado is included	1
110516	110517	110518	minivan cab police van	a dog looking ahead with a stoic look in a car seat 	1
3166	3167	3168	grocerystore headcabbage cauliflower	a pile of vegetables on display at a grocery store 	1
440075	440076	440077	ski curly-coatedretriever Gordonsetter	elephants and their young in their natural habitat	0
71021	71022	71023	ballplayer baseball puck	a baseball player and a flying black bat	1
